,가르침,가속,가야,가치,각국,각오,각자,간파,갈등,감동,감명,감지,강도,강적,강화,개발,개선,개인,건설,걸음,검증,결과,결정,경솔,경신,경영,경우,경쟁,경쟁력,경쟁사,경제,경향,경험,계열사,고객,고도,고려,고정관념,고착,공급,공인,공장,공통,과정,관리,관심,관점,교감,교두보,교만,구도,구매,구조,구체,구축,구현,국내,국내외,국제,규모,규칙,극대,극복,근래,근본,글로벌,금융,급변,기간,기대,기반,기본,기본기,기세,기술,기업,기적,기조,기존,기준,기회,나라,나름,난무,낭비,내부,내실,내진,네이버,노력,눈앞,능력,다리,다음,단계,단기간,단일,달성,당사,당장,대내외,대비,대사,대응,대처,댁내,댓가,도래,도약,도전,동물,동백꽃,동시,둔화,드라마,디지털,라운드,라인,라인업,리나,리더,리더십,리스크,리자,마곡,마음,마음가짐,마이크로,마침표,마케팅,만전,만족,만족감,말씀,매출,머리,먹이,면역,명나라,명성,명품,모범,모습,목표,몰두,몰락,몰입,무렵,무역,무인,묵살,문화,물류,물질,미국,미래,미주,믿음,바람,바른,바탕,박차,반복,발굴,발돋움,발생,발휘,방식,방향,방향성,배려,배치,범위,법규,베이스,변수,변화,보석,보유,보호,복합,본질,봉쇄,부가가치,부분,부정,부탁,부하,부화,부활,북미,분기,분석,분야,분열,분쟁,불규칙,불씨,불안정,불투명,불필요,불확실성,뷰티,브랜드,비대,비전,비중,사드,사람,사람의,사례,사상,사실,사업,사업부,사위,사이언스,사전,사치,사항,사회,산물,산업,산재,상응,상존,상호,상황,새끼,색조,생각,생명,생산,생산성,생수,생활,선도,선배,선사,선의,선전,선제,선진,선진국,설계,성공,성과,성장,성취,세계,세대,센터,소비,소비자,소비재,소사,소통,속도,솔선수범,수립,수요,수익,수준,수행,순간,스마트,스스로,시간,시기,시너지,시대,시스템,시시각각,시작,시장,시절,시점,신규,신뢰,신장,실물,실수,실적,실행,실행력,심리,십수,아시아,아이디어,악화,안심,안전,안정,안주,안착,어려움,어제,업무,업체,여일,여정,역동,역량,역사,역할,연계,연구,연구개발,연출,열정,영속,영역,영향,영훈,예상,예측,오랫동안,오리,온몸,완공,외부,외형,요구,요인,용납,용품,우려,우왕좌왕,우위,운영,움직임,원가,원칙,위기,위축,위치,유럽,유보,유전자,유지,유통,유해,유효,육성,음료,의미,의지,이상,이슈,이야기,이익,이전,이제,이후,인격,인수,인식,인증,인해,일본,일상,입주,자동화,자만,자발,자부심,자사,자산,자세,자신,자원,자질,작업,작전,작품,장기,장사성,장수,재생,재편,저력,저해,적극,적용,적의,전개,전년,전략,전망,전문가,전반,전세,전제,전투,절반,젊은,점검,접점,정답,정면,정의,제거,제공,제기,제로,제조,제품,조건,조직,조짐,조치,존경,존중,주도,주력,주문,주원,주의,주인공,주저,주제,준비,준수,중국,중복,중심,중점,증가,지금,지배력,지속,지역,지위,지향,직면,진심,진출,진화,질문,질서,집중,집중력,차별,차원,차이,차지,창의,창의력,창출,채널,책임감,처리,청주,체계,체질,초유,최고,최단,최대,최대한,최상,최선,최소,최초,추구,추진,추진력,축적,출발,출발점,출범,출시,충격,충실,침체,컨셉,컨트롤,컴플라이언스,코로나,클린,타워,탈출,테크노,통신,통찰,통찰력,통합,투자,투항,트렌드,특성,팀워크,파악,파크,판단,판매,패러다임,팩토리,편안,평화,포기,품질,프로세스,프로젝트,프리미엄,필수,필요,하루하루,한계,한때,한치의,합리,합의점,해외,핵심,향상,헌신,혁명,혁신,현재,협업,호기심,호흡,혼자,화장품,확대,확보,확산,확장,환경,활동,활성,활용,횃불,회사,효과,효능,효율,흐름,희생
주의,1,1,1,2,2,1,1,0,0,0,0,0,0,0,4,1,1,1,1,0,0,1,3,0,0,1,1,1,2,2,4,1,0,1,1,10,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,0,4,0,2,0,4,0,0,0,0,1,0,1,1,0,0,0,1,0,2,2,0,0,4,6,0,0,0,0,1,0,0,1,2,0,0,3,0,3,0,1,0,1,2,0,1,2,0,0,2,2,0,3,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,1,9,0,2,1,1,0,1,0,1,0,0,1,0,3,1,1,0,0,0,1,0,1,0,7,0,0,0,0,2,0,1,0,0,0,0,2,0,3,1,0,1,0,0,1,2,0,1,3,3,2,0,1,0,1,1,1,11,0,1,2,2,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,5,1,2,0,0,0,1,4,0,0,0,0,23,1,1,1,1,1,1,2,0,4,1,1,0,0,1,0,0,3,0,2,3,1,2,0,1,0,0,0,2,0,0,3,1,11,4,0,3,0,0,0,3,1,0,0,0,1,1,0,0,3,1,1,1,0,2,1,1,0,0,0,6,1,1,1,1,4,1,0,1,1,1,0,0,0,3,1,1,1,4,1,1,0,0,0,1,0,0,2,0,3,0,1,1,0,1,0,1,2,0,2,0,2,3,1,0,1,0,2,0,0,2,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,0,2,1,1,0,0,0,0,1,0,1,1,4,3,1,5,0,0,1,0,1,0,0,0,0,0,1,0,2,1,3,0,1,1,0,2,0,5,0,0,0,1,1,0,1,0,0,0,1,2,0,0,0,1,1,2,0,1,0,1,1,1,0,4,1,0,0,0,1,2,0,0,2,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,3,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,2,1,1,0,1,1,1,5,0,1,1,0,10,0,1,0,1,5,0,0,1,1,0
주인공,0,1,0,1,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,1,0,0,1,1,0,0,1,7,0,1,0,1,0,3,1,1,0,1,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,2,0,3,0,1,0,0,1,1,0,0,10,0,0,0,0,2,0,0,0,2,3,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,3,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,2,0,1,0,1,3,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,5,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,5,0,1,1,1,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,1,7,0,0,3,0,0,1,0,6,1,0,1,0,1
주저,0,1,1,1,1,0,1,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,1,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,1,0,1,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,1,6,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,13,0,0,1,1,0,1,2,0,4,1,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,2,0,0,2,0,4,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,1,1,2,1,1,0,0,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,1,1,3,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,2,0,2,0,1,1,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2,1,1,0,0,1,1,4,0,1,0,0,6,0,1,0,0,2,0,0,0,1,0
주제,0,1,0,1,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,1,0,0,1,1,0,0,1,7,0,1,0,1,0,3,1,1,0,1,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,2,0,3,0,1,0,0,1,1,0,0,10,0,0,0,0,2,0,0,0,2,3,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,3,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,2,0,1,0,1,3,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,5,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1,5,0,1,1,1,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,1,7,0,0,3,0,0,1,0,6,1,0,1,0,1
준비,0,6,2,8,2,0,2,2,0,2,0,2,2,0,18,2,2,2,2,0,0,0,0,0,0,2,0,2,12,4,12,0,0,2,20,2,0,2,0,0,0,2,0,0,4,2,2,2,0,0,2,2,0,2,6,2,10,2,0,2,2,4,4,2,2,10,2,4,0,2,4,0,2,2,8,8,0,0,2,0,4,0,2,0,0,0,0,4,2,4,0,2,2,0,0,0,0,2,0,0,0,4,0,14,2,0,0,2,0,2,2,0,6,4,0,4,2,2,0,2,0,0,4,2,2,0,2,0,2,2,0,2,0,8,0,0,0,2,0,2,0,0,0,4,0,2,0,0,2,0,0,0,2,0,6,4,4,0,0,0,2,2,0,2,4,4,0,2,0,0,0,2,2,2,2,2,28,0,2,2,4,0,2,0,0,2,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,4,2,6,2,2,2,2,10,0,0,2,2,38,0,0,2,2,0,2,4,0,8,2,0,2,0,2,0,2,6,0,2,2,2,6,0,0,2,0,2,6,0,2,4,0,12,10,0,4,2,2,4,6,2,0,0,2,0,0,2,0,4,2,2,4,0,0,0,2,6,2,2,8,10,2,0,4,6,2,2,0,0,0,2,2,0,6,0,4,6,6,2,2,0,0,4,4,2,0,4,2,12,0,2,2,2,0,0,0,0,0,4,0,8,4,2,0,0,0,4,2,2,2,0,6,0,0,0,4,2,0,2,16,2,2,2,0,0,0,4,0,2,2,4,0,2,6,4,0,0,0,0,4,0,0,2,0,2,6,0,2,0,2,2,0,2,2,2,0,0,0,0,0,0,2,0,0,2,0,2,2,4,2,0,0,2,0,2,2,2,0,0,0,4,2,2,2,2,2,0,2,0,2,2,8,6,0,4,2,2,2,0,2,2,0,0,2,0,2,0,0,0,12,0,4,2,0,14,0,10,4,0,0,4,0,2,8,0,2,2,0,4,2,0,2,0,0,2,2,2,0,2,2,0,2,0,0,0,0,0,2,2,2,2,4,0,0,0,0,4,2,2,0,2,0,2,2,6,2,2,2,0,2,2,0,2,0,0,6,0,0,2,2,0,2,4,2,0,0,0,12,2,0,2,0,2,0,0,0,0,2,0,6,2,2,0,4,2,2,2,0,2,2,18,8,4,6,4,24,4,2,2,0,12,0,0,0,2,0
준수,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,3,1,0,0,1,10,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,1,2,0,1,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,0,0,0,1,0,1,0,0,0,0,1,0,3,1,0,1,0,0,0,0,0,1,3,3,2,0,0,0,0,0,0,5,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,4,1,1,0,0,0,0,1,0,0,0,0,10,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,7,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,2,1,0,0,0,2,1,0,0,0,0,3,1,0,1,0,3,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,2,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,4,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4,0,0,0,1,3,0,0,1,0,0
중국,1,10,2,15,3,1,2,4,0,4,0,4,4,0,28,2,2,2,2,0,0,1,3,0,0,2,1,2,20,4,25,1,0,2,41,14,0,4,0,0,0,2,1,2,8,4,4,4,0,1,2,4,4,4,8,4,15,4,0,4,4,6,8,2,2,20,4,8,1,4,7,2,4,4,8,10,0,0,4,0,6,0,4,1,2,0,0,5,4,8,0,2,4,1,2,0,1,3,0,0,2,4,0,22,4,0,1,4,0,5,4,0,11,7,0,8,4,4,0,2,9,0,4,2,2,0,2,0,2,4,0,2,0,10,1,1,0,4,0,2,0,1,0,9,0,4,0,0,3,0,1,0,4,0,12,7,8,3,1,0,5,4,0,2,4,8,1,7,3,2,0,2,4,2,2,2,49,0,2,3,4,1,4,1,0,2,1,0,0,4,0,1,0,0,1,0,4,1,4,1,0,10,5,11,4,4,4,2,15,0,0,4,4,60,1,1,2,2,1,2,4,0,8,2,1,4,0,2,0,4,15,0,3,4,2,8,0,1,4,0,4,8,0,4,5,1,23,15,0,8,4,4,8,9,2,0,0,4,1,1,4,0,8,5,2,6,0,2,1,2,12,4,4,13,21,2,1,6,13,2,4,1,1,1,4,4,0,6,1,6,10,10,2,2,0,0,8,6,4,0,4,4,18,0,5,2,4,1,0,1,2,0,4,0,12,8,2,0,1,0,7,4,4,3,1,8,0,1,0,6,4,0,5,32,4,2,4,0,0,0,8,0,4,2,6,2,4,12,4,0,0,0,0,6,0,0,2,0,5,12,1,2,0,2,4,0,4,4,2,1,2,1,1,0,0,4,0,0,4,1,5,2,6,4,0,0,2,1,4,4,2,0,1,0,4,2,2,4,4,4,0,2,0,2,2,11,9,1,13,4,4,2,0,2,4,0,0,3,0,2,0,12,1,0,0,6,2,0,24,0,16,8,0,0,6,1,4,14,0,4,4,1,4,4,0,4,1,1,3,4,2,0,2,2,1,4,4,1,0,0,0,2,6,4,4,4,1,0,0,0,8,2,4,1,4,0,4,2,12,4,4,4,0,4,2,1,4,0,0,12,1,1,2,2,0,4,6,2,1,1,1,21,4,0,2,1,2,0,0,1,1,2,0,10,2,4,0,4,2,2,4,1,2,2,29,16,6,13,8,40,8,2,4,1,23,0,0,1,2,0
중복,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,2,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0
중심,0,3,1,4,1,0,1,1,0,1,0,1,1,0,9,1,1,1,1,0,0,0,0,0,0,1,0,1,6,2,6,0,0,1,10,1,0,1,0,0,0,1,0,0,2,1,1,1,0,0,1,1,0,1,3,1,5,1,0,1,1,2,2,1,1,5,1,2,0,1,2,0,1,1,4,4,0,0,1,0,2,0,1,0,0,0,0,2,1,2,0,1,1,0,0,0,0,1,0,0,0,2,0,7,1,0,0,1,0,1,1,0,3,2,0,2,1,1,0,1,0,0,2,1,1,0,1,0,1,1,0,1,0,4,0,0,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,1,0,3,2,2,0,0,0,1,1,0,1,2,2,0,1,0,0,0,1,1,1,1,1,14,0,1,1,2,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,2,1,3,1,1,1,1,5,0,0,1,1,19,0,0,1,1,0,1,2,0,4,1,0,1,0,1,0,1,3,0,1,1,1,3,0,0,1,0,1,3,0,1,2,0,6,5,0,2,1,1,2,3,1,0,0,1,0,0,1,0,2,1,1,2,0,0,0,1,3,1,1,4,5,1,0,2,3,1,1,0,0,0,1,1,0,3,0,2,3,3,1,1,0,0,2,2,1,0,2,1,6,0,1,1,1,0,0,0,0,0,2,0,4,2,1,0,0,0,2,1,1,1,0,3,0,0,0,2,1,0,1,8,1,1,1,0,0,0,2,0,1,1,2,0,1,3,2,0,0,0,0,2,0,0,1,0,1,3,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,2,1,0,0,1,0,1,1,1,0,0,0,2,1,1,1,1,1,0,1,0,1,1,4,3,0,2,1,1,1,0,1,1,0,0,1,0,1,0,4,0,6,0,0,1,0,7,0,5,2,0,0,2,0,1,4,0,1,1,0,2,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,2,0,0,0,0,2,1,1,0,1,0,1,1,3,1,1,1,0,1,1,0,1,0,0,3,0,0,1,1,0,1,2,1,0,0,0,6,1,0,1,0,1,0,0,0,0,1,0,3,1,1,0,2,1,1,1,0,1,1,9,4,2,3,2,12,2,1,1,0,6,0,0,0,1,0
중점,0,1,1,1,1,0,1,0,0,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,0,1,0,1,2,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,2,1,1,0,1,0,1,0,0,1,0,3,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,1,6,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,3,0,0,0,0,13,0,0,1,1,0,1,2,0,4,1,0,0,0,1,0,0,0,0,1,1,1,2,0,0,0,0,0,2,0,0,2,0,4,3,0,1,0,0,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,3,0,1,0,1,1,1,0,0,0,0,0,0,0,3,0,1,1,2,1,1,0,0,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,1,0,1,1,3,2,0,0,0,0,1,0,1,0,0,0,1,0,1,0,2,0,2,0,1,0,0,2,0,3,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,2,1,1,0,0,1,1,4,0,1,0,0,6,0,1,0,0,2,0,0,0,1,0
증가,0,1,0,1,0,0,0,0,1,0,1,0,0,0,8,0,0,0,0,0,1,0,0,1,1,0,0,1,7,0,1,0,1,0,3,1,1,0,1,2,1,2,0,0,0,0,1,0,1,0,0,0,1,0,2,0,3,0,1,0,0,1,1,0,0,10,0,0,0,0,2,0,0,0,2,3,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,1,0,0,1,0,0,3,1,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,2,0,1,0,1,3,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,1,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,1,0,0,5,0,4,0,2,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,5,0,1,0,2,0,0,0,1,0,0,0,1,3,0,0,1,1,0,0,1,1,0,0,0,0,0,1,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,2,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,5,0,1,1,1,0,3,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,3,1,7,0,0,3,0,0,1,0,6,1,0,1,0,1
